ts,gpu_util_pct,mem_used_gb,mem_total_gb,temp_c
1776607205.8976543,61,1.12,16.11,63
1776607206.8993278,59,1.12,16.11,65
1776607207.90187,60,1.12,16.11,65
1776607208.9033256,59,1.12,16.11,66
1776607209.905553,55,1.12,16.11,66
1776607210.907274,58,1.12,16.11,67
1776607211.90981,59,1.12,16.11,67
1776607212.9114602,59,1.12,16.11,67
1776607213.9138396,57,1.12,16.11,67
1776607214.9154868,58,1.12,16.11,68
1776607215.9169958,60,1.12,16.11,68
1776607216.9183614,0,1.12,16.11,66
1776607217.919702,0,1.12,16.11,66
1776607218.9214897,0,1.12,16.11,65
1776607219.9233801,0,1.12,16.11,64
1776607220.9255755,0,1.12,16.11,64
1776607221.9274337,0,1.12,16.11,64
1776607222.9292676,0,1.12,16.11,64
1776607223.9310994,0,1.12,16.11,64
1776607224.9329562,0,1.12,16.11,64
1776607225.9348242,0,1.12,16.11,64
1776607226.9368656,0,1.12,16.11,64
1776607227.9388523,0,1.12,16.11,64
1776607228.9408925,0,1.12,16.11,64
1776607229.942685,0,1.12,16.11,64
1776607230.9444582,0,1.12,16.11,64
1776607231.9462726,0,1.12,16.11,64
1776607232.9481843,0,1.12,16.11,64
1776607233.9499924,0,1.12,16.11,64
1776607234.9518902,0,1.12,16.11,64
1776607235.953777,0,1.12,16.11,64
1776607236.9555662,0,1.12,16.11,64
1776607237.9573386,0,1.12,16.11,64
1776607238.9591508,0,1.12,16.11,64
1776607239.9609342,0,1.12,16.11,64
1776607240.9627614,0,1.12,16.11,64
1776607241.9645648,0,1.12,16.11,64
1776607242.966436,0,1.12,16.11,64
1776607243.96824,0,1.12,16.11,64
1776607244.970067,0,1.12,16.11,64
1776607245.9719038,0,1.12,16.11,64
1776607246.9738882,0,1.12,16.11,64
1776607247.9758165,0,1.12,16.11,64
1776607248.9776375,0,1.12,16.11,64
1776607249.9794178,0,1.12,16.11,64
1776607250.9812071,0,1.12,16.11,64
1776607251.9829879,0,1.12,16.11,64
1776607252.9848616,0,1.12,16.11,64
1776607253.986698,0,1.12,16.11,64
1776607254.988574,0,1.12,16.11,64
1776607255.990369,0,1.12,16.11,64
1776607256.9923234,0,1.12,16.11,64
1776607257.994426,0,1.12,16.11,64
1776607258.9962633,0,1.12,16.11,64
1776607259.9981432,0,1.12,16.11,64
1776607261.0000062,0,1.12,16.11,64
1776607262.0017874,0,1.12,16.11,64
1776607263.0035727,0,1.12,16.11,64
1776607264.005309,0,1.12,16.11,64
1776607265.007054,0,1.12,16.11,64
1776607266.0089476,0,1.12,16.11,64
1776607267.0107174,0,1.12,16.11,64
1776607268.0124876,0,1.12,16.11,64
1776607269.014398,0,1.12,16.11,64
1776607270.0162508,0,1.12,16.11,64
1776607271.0181077,0,1.12,16.11,64
1776607272.0201523,0,1.12,16.11,64
1776607273.0222106,0,1.12,16.11,65
1776607274.0240324,0,1.12,16.11,65
1776607275.0258536,0,1.12,16.11,65
1776607276.0277092,0,1.12,16.11,65
